"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"2033",16,"Fianna Fáil","Mr. Richard Gogan","Richard Gogan",NA,"Gogan",0,2,"Deputy Gogan","Deputy Richard Gogan"
"2034",16,"Fine Gael","Mr. Joseph Hughes","Joseph Hughes",NA,"Hughes",0,2,"Deputy Hughes","Deputy Joseph Hughes"
"2035",16,"Fianna Fáil","Mr. Patrick Mooney","Patrick Mooney",NA,"Mooney",0,2,"Deputy Mooney","Deputy Patrick Mooney"
"2036",16,"Fine Gael","Capt. Patrick Giles","Patrick Giles",NA,"Giles",0,2,"Deputy Giles","Deputy Patrick Giles"
"2037",16,"Fine Gael","Mr. Charles Fagan","Charles Fagan",NA,"Fagan",0,2,"Deputy Fagan","Deputy Charles Fagan"
"2038",16,"Independent","Mr. James Carroll","James Carroll",NA,"Carroll",0,2,"Deputy Carroll","Deputy James Carroll"
"2039",16,"Fine Gael","Mr. John Carew","John Carew",NA,"Carew",0,2,"Deputy Carew","Deputy John Carew"
"2040",16,"Clann na Talmhúain","Mr. John (Junior) Beirne","John Beirne","Junior","Beirne",0,2,"Deputy Beirne","Deputy John Beirne"
"2041",16,"Fianna Fáil","Mr. Patrick Clohessy","Patrick Clohessy",NA,"Clohessy",0,2,"Deputy Clohessy","Deputy Patrick Clohessy"
"2042",16,"Fianna Fáil","Mr. Robert Briscoe","Robert Briscoe",NA,"Briscoe",0,2,"Deputy Briscoe","Deputy Robert Briscoe"
"2043",16,"Fianna Fáil","Mr. Bartholomew (Batt) Donegan","Bartholomew Donegan","Batt","Donegan",0,2,"Deputy Donegan","Deputy Bartholomew Donegan"
"2044",16,"Fianna Fáil","Mr. Sean (Mayo North) Doherty","Sean Doherty",NA,"Doherty",0,2,"Deputy Doherty","Deputy Sean Doherty"
"2045",16,"Fianna Fáil","Mr. Peader Maher","Peader Maher",NA,"Maher",0,2,"Deputy Maher","Deputy Peader Maher"
"2046",16,"Fianna Fáil","Mr. Michael Hilliard","Michael Hilliard",NA,"Hilliard",0,2,"Deputy Hilliard","Deputy Michael Hilliard"
"2047",16,"Fianna Fáil","Mr. James Gibbons","James Gibbons",NA,"Gibbons",0,2,"Deputy Gibbons","Deputy James Gibbons"
"2048",16,"Clann na Poblachta","Mr. John Tully","John Tully",NA,"Tully",0,2,"Deputy Tully","Deputy John Tully"
"2049",16,"Fianna Fáil","Mr. Daniel Breen","Daniel Breen",NA,"Breen",0,2,"Deputy Breen","Deputy Daniel Breen"
"2050",16,"Fianna Fáil","Mr. John Ormonde","John Ormonde",NA,"Ormonde",0,2,"Deputy Ormonde","Deputy John Ormonde"
"2051",16,"Fianna Fáil","Mr. William Kenneally","William Kenneally",NA,"Kenneally",0,2,"Deputy Kenneally","Deputy William Kenneally"
"2052",16,"Fianna Fáil","Mr. Edward Cotter","Edward Cotter",NA,"Cotter",0,2,"Deputy Cotter","Deputy Edward Cotter"
"2053",16,"Independent","Mr. Frank Sherwin","Frank Sherwin",NA,"Sherwin",0,2,"Deputy Sherwin","Deputy Frank Sherwin"
"2054",16,"Fianna Fáil","Mr. Martin Medlar","Martin Medlar",NA,"Medlar",0,2,"Deputy Medlar","Deputy Martin Medlar"
"2055",16,"Fianna Fáil","Mr. Stephen Flynn","Stephen Flynn",NA,"Flynn",0,2,"Deputy Flynn","Deputy Stephen Flynn"
"2056",16,"Fine Gael","Ms. Mary Reynolds","Mary Reynolds",NA,"Reynolds",0,2,"Deputy Reynolds","Deputy Mary Reynolds"
"2057",16,"Fianna Fáil","Mr. Thomas (Snr.) McEllistrim","Thomas McEllistrim",NA,"McEllistrim",0,2,"Deputy McEllistrim","Deputy Thomas McEllistrim"
"2058",16,"Independent","Mr. Joseph Sheridan","Joseph Sheridan",NA,"Sheridan",0,2,"Deputy Sheridan","Deputy Joseph Sheridan"
"2059",16,"Fine Gael","Mr. Joseph McLoughlin","Joseph McLoughlin",NA,"McLoughlin",0,2,"Deputy McLoughlin","Deputy Joseph McLoughlin"
"2060",17,"Sinn Féin","Mr. Seán MacEntee","Seán MacEntee",NA,"MacEntee",0,2,"Deputy MacEntee","Deputy Seán MacEntee"
"2061",17,"The Labour Party","Mr. William Norton","William Norton",NA,"Norton",0,2,"Deputy Norton","Deputy William Norton"
"2062",17,"The Labour Party","Mr. Daniel Desmond","Daniel Desmond",NA,"Desmond",0,2,"Deputy Desmond","Deputy Daniel Desmond"
"2063",17,"Independent","Mr. Frank Sherwin","Frank Sherwin",NA,"Sherwin",0,2,"Deputy Sherwin","Deputy Frank Sherwin"
"2064",17,"Clann na Poblachta","Mr. Joseph Barron","Joseph Barron",NA,"Barron",0,2,"Deputy Barron","Deputy Joseph Barron"
"2065",17,"Independent","Mr. James Carroll","James Carroll",NA,"Carroll",0,2,"Deputy Carroll","Deputy James Carroll"
"2066",17,"Independent","Mr. Joseph Sheridan","Joseph Sheridan",NA,"Sheridan",0,2,"Deputy Sheridan","Deputy Joseph Sheridan"
"2067",17,"Clann na Poblachta","Mr. John (Jack) McQuillan","John McQuillan","Jack","McQuillan",0,2,"Deputy McQuillan","Deputy John McQuillan"
"2068",17,"The Labour Party","Mr. Brendan Corish","Brendan Corish",NA,"Corish",0,2,"Deputy Corish","Deputy Brendan Corish"
"2069",17,"Fianna Fáil","Mr. Michael Moran","Michael Moran",NA,"Moran",0,2,"Deputy Moran","Deputy Michael Moran"
"2070",17,"Fianna Fáil","Mr. Patrick Smith","Patrick Smith",NA,"Smith",0,2,"Deputy Smith","Deputy Patrick Smith"
"2071",17,"Farmers Party","Mr. Joseph Blowick","Joseph Blowick",NA,"Blowick",0,2,"Deputy Blowick","Deputy Joseph Blowick"
"2072",17,"Fine Gael","Mr. Gerard Sweetman","Gerard Sweetman",NA,"Sweetman",0,2,"Deputy Sweetman","Deputy Gerard Sweetman"
"2073",17,"Fine Gael","Mr. Liam Cosgrave","Liam Cosgrave",NA,"Cosgrave",0,2,"Deputy Cosgrave","Deputy Liam Cosgrave"
"2074",17,"Fine Gael","Mr. Fintan (Senior) Coogan","Fintan Coogan",NA,"Coogan",0,2,"Deputy Coogan","Deputy Fintan Coogan"
"2075",17,"Fine Gael","Mr. Éamon Rooney","Éamon Rooney",NA,"Rooney",0,2,"Deputy Rooney","Deputy Éamon Rooney"
"2076",17,"The Labour Party","Mr. Patrick McAuliffe","Patrick McAuliffe",NA,"McAuliffe",0,2,"Deputy McAuliffe","Deputy Patrick McAuliffe"
"2077",17,"The Labour Party","Mr. James Tully","James Tully",NA,"Tully",0,2,"Deputy Tully","Deputy James Tully"
"2078",17,"The Labour Party","Mr. Seán Treacy","Seán Treacy",NA,"Treacy",0,2,"Deputy Treacy","Deputy Seán Treacy"
"2079",17,"Fianna Fáil","Mr. Frank Aiken","Frank Aiken",NA,"Aiken",0,2,"Deputy Aiken","Deputy Frank Aiken"
"2080",17,"Independent","Mr. Patrick Byrne","Patrick Byrne",NA,"Byrne",0,2,"Deputy Byrne","Deputy Patrick Byrne"
"2081",17,"The Labour Party","Mr. Michael Mullen","Michael Mullen",NA,"Mullen",0,2,"Deputy Mullen","Deputy Michael Mullen"
"2082",17,"The Labour Party","Mr. Daniel Spring","Daniel Spring",NA,"Spring",0,2,"Deputy Spring","Deputy Daniel Spring"
"2083",17,"The Labour Party","Mr. Stephen Coughlan","Stephen Coughlan",NA,"Coughlan",0,2,"Deputy Coughlan","Deputy Stephen Coughlan"
"2084",17,"Fianna Fáil","Mr. Patrick Clohessy","Patrick Clohessy",NA,"Clohessy",0,2,"Deputy Clohessy","Deputy Patrick Clohessy"
"2085",17,"Fianna Fáil","Mr. Donogh O'Malley","Donogh O'Malley",NA,"O'Malley",0,2,"Deputy O'Malley","Deputy Donogh O'Malley"
"2086",17,"Fianna Fáil","Mr. John Fanning","John Fanning",NA,"Fanning",0,2,"Deputy Fanning","Deputy John Fanning"
"2087",17,"Fianna Fáil","Mr. John Ormonde","John Ormonde",NA,"Ormonde",0,2,"Deputy Ormonde","Deputy John Ormonde"
"2088",17,"Fine Gael","Mr. Joseph McLoughlin","Joseph McLoughlin",NA,"McLoughlin",0,2,"Deputy McLoughlin","Deputy Joseph McLoughlin"
"2089",17,"The Labour Party","Mr. James Everett","James Everett",NA,"Everett",0,2,"Deputy Everett","Deputy James Everett"
"2090",17,"Fianna Fáil","Mr. Michael Hilliard","Michael Hilliard",NA,"Hilliard",0,2,"Deputy Hilliard","Deputy Michael Hilliard"
"2091",17,"Fianna Fáil","Mr. Cormac Breslin","Cormac Breslin",NA,"Breslin",0,2,"Deputy Breslin","Deputy Cormac Breslin"
"2092",17,"The Labour Party","Mr. Sean Casey","Sean Casey",NA,"Casey",0,2,"Deputy Casey","Deputy Sean Casey"
"2093",17,"Fine Gael","Mr. Patrick McGilligan","Patrick McGilligan",NA,"McGilligan",0,2,"Deputy McGilligan","Deputy Patrick McGilligan"
"2094",17,"Fianna Fáil","Mr. Seán (Cork) McCarthy","Seán McCarthy","Cork","McCarthy",0,2,"Deputy McCarthy","Deputy Seán McCarthy"
"2095",17,"The Labour Party","Mr. Patrick Tierney","Patrick Tierney",NA,"Tierney",0,2,"Deputy Tierney","Deputy Patrick Tierney"
"2096",17,"Clann na Talmhúain","Mr. Patrick Finucane","Patrick Finucane",NA,"Finucane",0,2,"Deputy Finucane","Deputy Patrick Finucane"
"2097",17,"The Labour Party","Mr. Séamus Pattison","Séamus Pattison",NA,"Pattison",0,2,"Deputy Pattison","Deputy Séamus Pattison"
"2098",17,"Fianna Fáil","Mr. Séamus Dolan (Deceased)","Séamus Dolan ",NA,"Dolan",0,2,"Deputy Dolan","Deputy Séamus Dolan "
"2099",17,"Fine Gael","Mr. Eugene Gilhawley","Eugene Gilhawley",NA,"Gilhawley",0,2,"Deputy Gilhawley","Deputy Eugene Gilhawley"
"2100",17,"Fianna Fáil","Mr. Kevin Boland","Kevin Boland",NA,"Boland",0,2,"Deputy Boland","Deputy Kevin Boland"
"2101",17,"Fianna Fáil","Mr. Liam Cunningham","Liam Cunningham",NA,"Cunningham",0,2,"Deputy Cunningham","Deputy Liam Cunningham"
"2102",17,"Fianna Fáil","Mr. Brian (Snr.) Lenihan","Brian Lenihan",NA,"Lenihan",0,2,"Deputy Lenihan","Deputy Brian Lenihan"
"2103",17,"Fianna Fáil","Mr. Gerald Bartley","Gerald Bartley",NA,"Bartley",0,2,"Deputy Bartley","Deputy Gerald Bartley"
"2104",17,"Fianna Fáil","Mr. Patrick Dooley","Patrick Dooley",NA,"Dooley",0,2,"Deputy Dooley","Deputy Patrick Dooley"
"2105",17,"Fine Gael","Mr. Paddy Harte","Paddy Harte",NA,"Harte",0,2,"Deputy Harte","Deputy Paddy Harte"
"2106",17,"Fianna Fáil","Mr. Timothy O'Connor","Timothy O'Connor",NA,"O'Connor",0,2,"Deputy O'Connor","Deputy Timothy O'Connor"
"2107",17,"Fianna Fáil","Mr. John Geoghegan","John Geoghegan",NA,"Geoghegan",0,2,"Deputy Geoghegan","Deputy John Geoghegan"
"2108",17,"Fine Gael","Mr. Patrick Connor","Patrick Connor",NA,"Connor",0,2,"Deputy Connor","Deputy Patrick Connor"
"2109",17,"Fianna Fáil","Mr. Brendan Crinion","Brendan Crinion",NA,"Crinion",0,2,"Deputy Crinion","Deputy Brendan Crinion"
"2110",17,"Fianna Fáil","Mr. Padraig Faulkner","Padraig Faulkner",NA,"Faulkner",0,2,"Deputy Faulkner","Deputy Padraig Faulkner"
"2111",17,"Fianna Fáil","Mr. Frank Carter","Frank Carter",NA,"Carter",0,2,"Deputy Carter","Deputy Frank Carter"
"2112",17,"Fianna Fáil","Mr. James Gallagher","James Gallagher",NA,"Gallagher",0,2,"Deputy Gallagher","Deputy James Gallagher"
"2113",17,"Fianna Fáil","Mr. Lorcan Allen","Lorcan Allen",NA,"Allen",0,2,"Deputy Allen","Deputy Lorcan Allen"
"2114",17,"Fianna Fáil","Mr. James Gibbons","James Gibbons",NA,"Gibbons",0,2,"Deputy Gibbons","Deputy James Gibbons"
"2115",17,"Fianna Fáil","Mr. Eugene Timmons","Eugene Timmons",NA,"Timmons",0,2,"Deputy Timmons","Deputy Eugene Timmons"
"2116",17,"Fianna Fáil","Mr. George Colley","George Colley",NA,"Colley",0,2,"Deputy Colley","Deputy George Colley"
"2117",17,"Farmers Party","Mr. Patrick (Virginia) O'Reilly","Patrick O'Reilly","Virginia","O'Reilly",0,2,"Deputy O'Reilly","Deputy Patrick O'Reilly"
"2118",17,"Fianna Fáil","Mr. Eugene Gilbride","Eugene Gilbride",NA,"Gilbride",0,2,"Deputy Gilbride","Deputy Eugene Gilbride"
"2119",17,"Fine Gael","Mr. Denis Farrelly","Denis Farrelly",NA,"Farrelly",0,2,"Deputy Farrelly","Deputy Denis Farrelly"
"2120",17,"Fianna Fáil","Mr. Michael Carty","Michael Carty",NA,"Carty",0,2,"Deputy Carty","Deputy Michael Carty"
"2121",17,"Fianna Fáil","Mr. Cornelius Meaney","Cornelius Meaney",NA,"Meaney",0,2,"Deputy Meaney","Deputy Cornelius Meaney"
"2122",17,"Fine Gael","Mr. Desmond Governey","Desmond Governey",NA,"Governey",0,2,"Deputy Governey","Deputy Desmond Governey"
"2123",17,"Fine Gael","Mr. Philip Burton","Philip Burton",NA,"Burton",0,2,"Deputy Burton","Deputy Philip Burton"
"2124",17,"Fianna Fáil","Mr. Thomas (Snr.) McEllistrim","Thomas McEllistrim",NA,"McEllistrim",0,2,"Deputy McEllistrim","Deputy Thomas McEllistrim"
"2125",17,"Fianna Fáil","Mr. Richard Gogan","Richard Gogan",NA,"Gogan",0,2,"Deputy Gogan","Deputy Richard Gogan"
"2126",17,"Fianna Fáil","Mr. Martin Medlar","Martin Medlar",NA,"Medlar",0,2,"Deputy Medlar","Deputy Martin Medlar"
"2127",17,"Fine Gael","Mr. Henry Kenny","Henry Kenny",NA,"Kenny",0,2,"Deputy Kenny","Deputy Henry Kenny"
"2128",17,"Fianna Fáil","Mr. Robert Briscoe","Robert Briscoe",NA,"Briscoe",0,2,"Deputy Briscoe","Deputy Robert Briscoe"
"2129",17,"Fine Gael","Mrs. Brigid Hogan-O'Higgins","Brigid Hogan-O'Higgins",NA,"Hogan-O'Higgins",0,2,"Deputy Hogan-O'Higgins","Deputy Brigid Hogan-O'Higgins"
"2130",17,"Fianna Fáil","Mr. Daniel Breen","Daniel Breen",NA,"Breen",0,2,"Deputy Breen","Deputy Daniel Breen"
"2131",17,"Fianna Fáil","Mr. Edward Cotter","Edward Cotter",NA,"Cotter",0,2,"Deputy Cotter","Deputy Edward Cotter"
"2132",17,"Fianna Fáil","Mr. Terence Boylan","Terence Boylan",NA,"Boylan",0,2,"Deputy Boylan","Deputy Terence Boylan"
"2133",18,"The Labour Party","Mr. Brendan Corish","Brendan Corish",NA,"Corish",0,2,"Deputy Corish","Deputy Brendan Corish"
"2134",18,"Sinn Féin","Mr. Seán MacEntee","Seán MacEntee",NA,"MacEntee",0,2,"Deputy MacEntee","Deputy Seán MacEntee"
"2135",18,"Fianna Fáil","Mr. John Geoghegan","John Geoghegan",NA,"Geoghegan",0,2,"Deputy Geoghegan","Deputy John Geoghegan"
"2136",18,"Fine Gael","Mr. Liam Cosgrave","Liam Cosgrave",NA,"Cosgrave",0,2,"Deputy Cosgrave","Deputy Liam Cosgrave"
"2137",18,"The Labour Party","Mr. Sean Casey","Sean Casey",NA,"Casey",0,2,"Deputy Casey","Deputy Sean Casey"
"2138",18,"Fianna Fáil","Mr. John Fanning","John Fanning",NA,"Fanning",0,2,"Deputy Fanning","Deputy John Fanning"
"2139",18,"The Labour Party","Mr. Stephen Coughlan","Stephen Coughlan",NA,"Coughlan",0,2,"Deputy Coughlan","Deputy Stephen Coughlan"
"2140",18,"Fine Gael","Mr. Gerard Sweetman","Gerard Sweetman",NA,"Sweetman",0,2,"Deputy Sweetman","Deputy Gerard Sweetman"
"2141",18,"Clann na Talmhúain","Mr. Thomas O'Hara","Thomas O'Hara",NA,"O'Hara",0,2,"Deputy O'Hara","Deputy Thomas O'Hara"
"2142",18,"Fine Gael","Mr. Richie Ryan","Richie Ryan",NA,"Ryan",0,2,"Deputy Ryan","Deputy Richie Ryan"
"2143",18,"Fianna Fáil","Mr. Michael Carty","Michael Carty",NA,"Carty",0,2,"Deputy Carty","Deputy Michael Carty"
"2144",18,"The Labour Party","Mr. Seán Treacy","Seán Treacy",NA,"Treacy",0,2,"Deputy Treacy","Deputy Seán Treacy"
"2145",18,"The Labour Party","Mr. Patrick Tierney","Patrick Tierney",NA,"Tierney",0,2,"Deputy Tierney","Deputy Patrick Tierney"
"2146",18,"Fianna Fáil","Mr. Michael Moran","Michael Moran",NA,"Moran",0,2,"Deputy Moran","Deputy Michael Moran"
"2147",18,"Fianna Fáil","Mr. George Colley","George Colley",NA,"Colley",0,2,"Deputy Colley","Deputy George Colley"
"2148",18,"Fianna Fáil","Mr. Cormac Breslin","Cormac Breslin",NA,"Breslin",0,2,"Deputy Breslin","Deputy Cormac Breslin"
"2149",18,"The Labour Party","Mr. Denis Larkin","Denis Larkin",NA,"Larkin",0,2,"Deputy Larkin","Deputy Denis Larkin"
"2150",18,"Fianna Fáil","Mr. Séan Moore","Séan Moore",NA,"Moore",0,2,"Deputy Moore","Deputy Séan Moore"
"2151",18,"Fine Gael","Mr. Henry Kenny","Henry Kenny",NA,"Kenny",0,2,"Deputy Kenny","Deputy Henry Kenny"
"2152",18,"Fianna Fáil","Mr. Frank Aiken","Frank Aiken",NA,"Aiken",0,2,"Deputy Aiken","Deputy Frank Aiken"
"2153",18,"Fine Gael","Mr. Fintan (Senior) Coogan","Fintan Coogan",NA,"Coogan",0,2,"Deputy Coogan","Deputy Fintan Coogan"
"2154",18,"Fine Gael","Mr. Paddy Harte","Paddy Harte",NA,"Harte",0,2,"Deputy Harte","Deputy Paddy Harte"
"2155",18,"Fianna Fáil","Mr. Kevin Boland","Kevin Boland",NA,"Boland",0,2,"Deputy Boland","Deputy Kevin Boland"
"2156",18,"Fine Gael","Mr. Gerald L'Estrange","Gerald L'Estrange",NA,"L'Estrange",0,2,"Deputy L'Estrange","Deputy Gerald L'Estrange"
"2157",18,"The Labour Party","Mrs. Eileen Desmond","Eileen Desmond",NA,"Desmond",0,2,"Deputy Desmond","Deputy Eileen Desmond"
"2158",18,"Fianna Fáil","Mr. Joe Dowling","Joe Dowling",NA,"Dowling",0,2,"Deputy Dowling","Deputy Joe Dowling"
"2159",18,"Fianna Fáil","Mr. Timothy O'Connor","Timothy O'Connor",NA,"O'Connor",0,2,"Deputy O'Connor","Deputy Timothy O'Connor"
"2160",18,"Fine Gael","Mr. Desmond Governey","Desmond Governey",NA,"Governey",0,2,"Deputy Governey","Deputy Desmond Governey"
"2161",18,"Fianna Fáil","Mr. Brendan Crinion","Brendan Crinion",NA,"Crinion",0,2,"Deputy Crinion","Deputy Brendan Crinion"
"2162",18,"Fianna Fáil","Mr. James Gallagher","James Gallagher",NA,"Gallagher",0,2,"Deputy Gallagher","Deputy James Gallagher"
"2163",18,"Fine Gael","Mr. Eugene Gilhawley","Eugene Gilhawley",NA,"Gilhawley",0,2,"Deputy Gilhawley","Deputy Eugene Gilhawley"
"2164",18,"Fianna Fáil","Mr. Padraig Faulkner","Padraig Faulkner",NA,"Faulkner",0,2,"Deputy Faulkner","Deputy Padraig Faulkner"
"2165",18,"Fianna Fáil","Mr. Michael Hilliard","Michael Hilliard",NA,"Hilliard",0,2,"Deputy Hilliard","Deputy Michael Hilliard"
"2166",18,"Fianna Fáil","Mr. Robert (Bobby) Molloy","Robert Molloy","Bobby","Molloy",0,2,"Deputy Molloy","Deputy Robert Molloy"
"2167",18,"Fianna Fáil","Mr. David Andrews","David Andrews",NA,"Andrews",0,2,"Deputy Andrews","Deputy David Andrews"
"2168",18,"The Labour Party","Mr. Michael Mullen","Michael Mullen",NA,"Mullen",0,2,"Deputy Mullen","Deputy Michael Mullen"
"2169",18,"Fine Gael","Mr. Joseph McLoughlin","Joseph McLoughlin",NA,"McLoughlin",0,2,"Deputy McLoughlin","Deputy Joseph McLoughlin"
"2170",18,"Fianna Fáil","Mr. Liam Cunningham","Liam Cunningham",NA,"Cunningham",0,2,"Deputy Cunningham","Deputy Liam Cunningham"
"2171",18,"Fianna Fáil","Mr. Des Foley","Des Foley",NA,"Foley",0,2,"Deputy Foley","Deputy Des Foley"
"2172",18,"Fine Gael","Mr. Richard Barry","Richard Barry",NA,"Barry",0,2,"Deputy Barry","Deputy Richard Barry"
"2173",18,"The Labour Party","Mr. Patrick McAuliffe","Patrick McAuliffe",NA,"McAuliffe",0,2,"Deputy McAuliffe","Deputy Patrick McAuliffe"
"2174",18,"Fianna Fáil","Mr. Donal (Owen Don Bosco) Davern","Donal Davern","Owen Don Bosco","Davern",0,2,"Deputy Davern","Deputy Donal Davern"
"2175",18,"Fine Gael","Mr. Philip Burton","Philip Burton",NA,"Burton",0,2,"Deputy Burton","Deputy Philip Burton"
"2176",18,"The Labour Party","Mr. Patrick Norton","Patrick Norton",NA,"Norton",0,2,"Deputy Norton","Deputy Patrick Norton"
"2177",18,"Fianna Fáil","Mr. Pearse Wyse","Pearse Wyse",NA,"Wyse",0,2,"Deputy Wyse","Deputy Pearse Wyse"
"2178",18,"The Labour Party","Mr. Frank Cluskey","Frank Cluskey",NA,"Cluskey",0,2,"Deputy Cluskey","Deputy Frank Cluskey"
"2179",18,"The Labour Party","Mr. Séamus Pattison","Séamus Pattison",NA,"Pattison",0,2,"Deputy Pattison","Deputy Séamus Pattison"
"2180",18,"Fianna Fáil","Mr. Jeremiah Cronin","Jeremiah Cronin",NA,"Cronin",0,2,"Deputy Cronin","Deputy Jeremiah Cronin"
"2181",18,"Fianna Fáil","Mr. Ben Briscoe","Ben Briscoe",NA,"Briscoe",0,2,"Deputy Briscoe","Deputy Ben Briscoe"
"2182",18,"Fianna Fáil","Mr. Lorcan Allen","Lorcan Allen",NA,"Allen",0,2,"Deputy Allen","Deputy Lorcan Allen"
"2183",18,"Fianna Fáil","Mr. Patrick Clohessy","Patrick Clohessy",NA,"Clohessy",0,2,"Deputy Clohessy","Deputy Patrick Clohessy"
"2184",18,"Fianna Fáil","Mr. Thomas Meaney","Thomas Meaney",NA,"Meaney",0,2,"Deputy Meaney","Deputy Thomas Meaney"
"2185",18,"Fianna Fáil","Mr. William Kenneally","William Kenneally",NA,"Kenneally",0,2,"Deputy Kenneally","Deputy William Kenneally"
"2186",18,"Fine Gael","Mr. Donal Creed","Donal Creed",NA,"Creed",0,2,"Deputy Creed","Deputy Donal Creed"
"2187",18,"Fine Gael","Mr. Denis Farrelly","Denis Farrelly",NA,"Farrelly",0,2,"Deputy Farrelly","Deputy Denis Farrelly"
"2188",18,"Fianna Fáil","Mr. John (Jackie) Fahey","John Fahey","Jackie","Fahey",0,2,"Deputy Fahey","Deputy John Fahey"
"2189",18,"Fianna Fáil","Mr. Frank Carter","Frank Carter",NA,"Carter",0,2,"Deputy Carter","Deputy Frank Carter"
"2190",18,"Fianna Fáil","Mr. Nicholas Egan","Nicholas Egan",NA,"Egan",0,2,"Deputy Egan","Deputy Nicholas Egan"
"2191",18,"Fianna Fáil","Mr. Thomas Nolan","Thomas Nolan",NA,"Nolan",0,2,"Deputy Nolan","Deputy Thomas Nolan"
"2192",18,"Fianna Fáil","Mr. Patrick Smith","Patrick Smith",NA,"Smith",0,2,"Deputy Smith","Deputy Patrick Smith"
"2193",18,"Fianna Fáil","Mr. Richard Gogan","Richard Gogan",NA,"Gogan",0,2,"Deputy Gogan","Deputy Richard Gogan"
"2194",18,"Fine Gael","Mr. Patrick Connor","Patrick Connor",NA,"Connor",0,2,"Deputy Connor","Deputy Patrick Connor"
"2195",18,"The Labour Party","Mr. Daniel Spring","Daniel Spring",NA,"Spring",0,2,"Deputy Spring","Deputy Daniel Spring"
"2196",18,"Fianna Fáil","Mr. Eugene Gilbride","Eugene Gilbride",NA,"Gilbride",0,2,"Deputy Gilbride","Deputy Eugene Gilbride"
"2197",18,"The Labour Party","Mr. James Everett","James Everett",NA,"Everett",0,2,"Deputy Everett","Deputy James Everett"
"2198",18,"Independent","Mr. Joseph Sheridan","Joseph Sheridan",NA,"Sheridan",0,2,"Deputy Sheridan","Deputy Joseph Sheridan"
"2199",18,"Fianna Fáil","Mr. Thomas (Snr.) McEllistrim","Thomas McEllistrim",NA,"McEllistrim",0,2,"Deputy McEllistrim","Deputy Thomas McEllistrim"
"2200",18,"Fianna Fáil","Mr. Patrick Mooney","Patrick Mooney",NA,"Mooney",0,2,"Deputy Mooney","Deputy Patrick Mooney"
"2201",18,"Fianna Fáil","Mr. Patrick (Fad) Browne","Patrick Browne","Fad","Browne",0,2,"Deputy Browne","Deputy Patrick Browne"
"2202",18,"Fianna Fáil","Mr. Terence Boylan","Terence Boylan",NA,"Boylan",0,2,"Deputy Boylan","Deputy Terence Boylan"
"2203",18,"Fianna Fáil","Mr. Sean (Cork City) French","Sean French",NA,"French",0,2,"Deputy French","Deputy Sean French"
"2204",18,"Fine Gael","Mr. Godfrey Timmins","Godfrey Timmins",NA,"Timmins",0,2,"Deputy Timmins","Deputy Godfrey Timmins"
"2205",18,"Fine Gael","Mrs. Brigid Hogan-O'Higgins","Brigid Hogan-O'Higgins",NA,"Hogan-O'Higgins",0,2,"Deputy Hogan-O'Higgins","Deputy Brigid Hogan-O'Higgins"
"2206",19,"Fine Gael","Mr. Gerard Sweetman","Gerard Sweetman",NA,"Sweetman",0,2,"Deputy Sweetman","Deputy Gerard Sweetman"
"2207",19,"Fine Gael","Mr. Liam Cosgrave","Liam Cosgrave",NA,"Cosgrave",0,2,"Deputy Cosgrave","Deputy Liam Cosgrave"
"2208",19,"The Labour Party","Mr. Brendan Corish","Brendan Corish",NA,"Corish",0,2,"Deputy Corish","Deputy Brendan Corish"
"2209",19,"Fianna Fáil","Mr. Cormac Breslin","Cormac Breslin",NA,"Breslin",0,2,"Deputy Breslin","Deputy Cormac Breslin"
"2210",19,"Fianna Fáil","Mr. Frank Aiken","Frank Aiken",NA,"Aiken",0,2,"Deputy Aiken","Deputy Frank Aiken"
"2211",19,"Fianna Fáil","Mr. John Geoghegan","John Geoghegan",NA,"Geoghegan",0,2,"Deputy Geoghegan","Deputy John Geoghegan"
"2212",19,"The Labour Party","Mr. Frank Cluskey","Frank Cluskey",NA,"Cluskey",0,2,"Deputy Cluskey","Deputy Frank Cluskey"
"2213",19,"Fine Gael","Mr. Richie Ryan","Richie Ryan",NA,"Ryan",0,2,"Deputy Ryan","Deputy Richie Ryan"
"2214",19,"Fianna Fáil","Mr. Patrick Lenihan","Patrick Lenihan",NA,"Lenihan",0,2,"Deputy Lenihan","Deputy Patrick Lenihan"
"2215",19,"Fianna Fáil","Mr. Kevin Boland","Kevin Boland",NA,"Boland",0,2,"Deputy Boland","Deputy Kevin Boland"
"2216",19,"Fianna Fáil","Flor Crowley","Flor Crowley",NA,"Crowley",0,2,"Deputy Crowley","Deputy Flor Crowley"
"2217",19,"The Labour Party","Mr. Stephen Coughlan","Stephen Coughlan",NA,"Coughlan",0,2,"Deputy Coughlan","Deputy Stephen Coughlan"
"2218",19,"Fianna Fáil","Mr. Lorcan Allen","Lorcan Allen",NA,"Allen",0,2,"Deputy Allen","Deputy Lorcan Allen"
"2219",19,"Fine Gael","Mr. John O'Donovan","John O'Donovan",NA,"O'Donovan",0,2,"Deputy O'Donovan","Deputy John O'Donovan"
"2220",19,"The Labour Party","Mr. James Tully","James Tully",NA,"Tully",0,2,"Deputy Tully","Deputy James Tully"
"2221",19,"Fine Gael","Mr. Garret FitzGerald","Garret FitzGerald",NA,"FitzGerald",0,2,"Deputy FitzGerald","Deputy Garret FitzGerald"
