"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"416",23,"Fianna Fáil","Mr. Frank Fahey","Frank Fahey",NA,"Fahey",1,2,"Deputy Frank Fahey",NA
"417",23,"Fianna Fáil","Mr. Michael Ahern","Michael Ahern",NA,"Ahern",1,2,"Deputy Michael Ahern",NA
"418",23,"Fianna Fáil","Mr. Michael Barrett","Michael Barrett",NA,"Barrett",1,2,"Deputy Michael Barrett",NA
"419",23,"Fianna Fáil","Mr. Gerard (Gerry) Brady","Gerard Brady","Gerry","Brady",1,2,"Deputy Gerard Brady",NA
"420",23,"Fianna Fáil","Mr. Matt Brennan","Matt Brennan",NA,"Brennan",1,2,"Deputy Matt Brennan",NA
"421",24,"Fine Gael","Mr. Peter Barry","Peter Barry",NA,"Barry",1,2,"Deputy Peter Barry",NA
"422",24,"Fianna Fáil","Mr. Gerard Collins","Gerard Collins",NA,"Collins",1,2,"Deputy Gerard Collins",NA
"423",24,"The Labour Party","Mr. Barry Desmond","Barry Desmond",NA,"Desmond",1,2,"Deputy Barry Desmond",NA
"424",24,"Fine Gael","Mr. Sean Barrett","Sean Barrett",NA,"Barrett",1,2,"Deputy Sean Barrett",NA
"425",24,"Fianna Fáil","Mr. Bertie Ahern","Bertie Ahern",NA,"Ahern",1,2,"Deputy Bertie Ahern",NA
"426",24,"Fianna Fáil","Mr. Seamus Brennan (Deceased)","Seamus Brennan ",NA,"Brennan",1,2,"Deputy Seamus Brennan ",NA
"427",24,"Fianna Fáil","Mr. Denis Gallagher","Denis Gallagher",NA,"Gallagher",1,2,"Deputy Denis Gallagher",NA
"428",24,"Fine Gael","Mr. Edward Collins","Edward Collins",NA,"Collins",1,2,"Deputy Edward Collins",NA
"429",24,"Fianna Fáil","Mr. Eugene (Gene) Fitzgerald","Eugene Fitzgerald","Gene","Fitzgerald",1,2,"Deputy Eugene Fitzgerald",NA
